Portfolio,Date,Open,High,Low,Close,Adj Close,Volume;
Bitcoin,2016-1-4,430.061005,434.516998,429.084015,433.091003,433.091003,38477500;
Bitcoin,2016-1-5,433.069,434.182007,429.675995,431.959991,431.959991,34522600;
Bitcoin,2016-1-6,431.855988,431.855988,426.341003,429.105011,429.105011,34042500;
Bitcoin,2016-1-7,430.010986,458.765991,429.076996,458.048004,458.048004,87562200;
Bitcoin,2016-1-8,457.537994,462.93399,447.937988,453.230011,453.230011,56993000;
Bitcoin,2016-1-11,448.697998,450.661987,443.855011,448.428009,448.428009,40450000;
Bitcoin,2016-1-12,448.182007,448.182007,435.690002,435.690002,435.690002,115607000;
Bitcoin,2016-1-13,434.665009,435.186005,424.442993,432.371002,432.371002,173888000;
Bitcoin,2016-1-14,432.287994,433.324005,427.845001,430.306,430.306,43945500;
Bitcoin,2016-1-15,430.255005,430.255005,364.330994,364.330994,364.330994,153351008;
Bitcoin,2016-1-18,381.733002,388.104004,376.665009,387.167999,387.167999,54403900;
Bitcoin,2016-1-19,387.026001,387.730011,378.971985,380.148987,380.148987,46819800;
Bitcoin,2016-1-20,379.73999,425.266998,376.598999,420.230011,420.230011,121720000;
Bitcoin,2016-1-21,419.631989,422.877014,406.299988,410.261993,410.261993,68338000;
Bitcoin,2016-1-22,409.751007,410.410004,375.282013,382.492004,382.492004,91546600;
Bitcoin,2016-1-25,402.316986,402.316986,388.553986,391.726013,391.726013,59062400;
Bitcoin,2016-1-26,392.002014,397.765991,390.575012,392.153015,392.153015,58147000;
Bitcoin,2016-1-27,392.444,396.842987,391.782013,394.971985,394.971985,47424400;
Bitcoin,2016-1-28,395.145996,395.502014,379.734985,380.289001,380.289001,59247900;
Bitcoin,2016-1-29,380.108002,384.378998,365.451996,379.473999,379.473999,86125296;
Bitcoin,2016-2-1,369.350006,378.071991,367.957001,373.056,373.056,51656700;
Bitcoin,2016-2-2,372.920013,375.882996,372.920013,374.447998,374.447998,40378700;
Bitcoin,2016-2-3,374.645996,374.950012,368.045013,369.949005,369.949005,45933400;
Bitcoin,2016-2-4,370.174011,391.608002,369.993011,389.593994,389.593994,69285504;
Bitcoin,2016-2-5,388.89801,391.093994,385.571991,386.549011,386.549011,43825000;
Bitcoin,2016-2-8,376.756989,379.878998,373.334015,373.446991,373.446991,47671100;
Bitcoin,2016-2-9,373.423004,377.246002,372.89801,376.028992,376.028992,55318500;
Bitcoin,2016-2-10,376.145996,385.483002,375.78299,381.648987,381.648987,85130896;
Bitcoin,2016-2-11,382.114014,383.130005,376.398987,379.653992,379.653992,74375600;
Bitcoin,2016-2-12,379.686005,384.95401,379.600006,384.263,384.263,67042800;
Bitcoin,2016-2-15,407.567993,410.381012,397.748993,400.184998,400.184998,74070496;
