,Currency,Country,Label,Value,Year
1813,CAD,Canadá,2013-07-09,166.18,2013
18513,UAH,Ucrania,2013-08-11,0.0,2013
8331,INR,India,2013-12-28,8.07,2013
16374,SEK,Suecia,2013-04-20,15.0,2013
6104,GBP,Reino Unido,2013-04-05,1890.68,2013
1789,CAD,Canadá,2013-03-23,42.77,2013
4454,DKK,Dinamarca,2013-09-28,5.44,2013
19,AED,Emiratos Árabes Unidos,2013-08-11,0.0,2013
6553,HKD,Hong Kong,2013-04-05,0.46,2013
16397,SEK,Suecia,2013-09-28,134.5,2013
5673,EUR,Europa,2013-09-28,1283.24,2013
18519,UAH,Ucrania,2013-12-20,0.0,2013
12048,NGN,Nigeria,2013-12-14,0.0,2013
16825,SGD,Singapur,2013-04-20,0.0,2013
439,ARS,Argentina,2013-04-20,1.67,2013
8295,INR,India,2013-04-20,2.26,2013
16410,SEK,Suecia,2013-12-28,19.88,2013
2242,CHF,Suiza,2013-04-20,58.56,2013
5271,EGP,Egipto,2013-12-28,0.02,2013
8291,INR,India,2013-03-23,9.64,2013
6581,HKD,Hong Kong,2013-11-16,93.69,2013
2690,CLP,Chile,2013-08-24,12.6,2013
2278,CHF,Suiza,2013-12-28,6.53,2013
13800,PHP,Filipinas,2013-11-16,25.04,2013
15058,RON,Rumanía,2013-03-23,2.0,2013
17311,THB,Tailandia,2013-12-28,48.94,2013
12913,NZD,Nueva Zelanda,2013-03-23,0.0,2013
913,AUD,Australia,2013-09-28,1392.44,2013
4007,CZK,República Checa,2013-09-28,52.54,2013
5646,EUR,Europa,2013-03-23,304.56,2013
16404,SEK,Suecia,2013-11-16,29.19,2013
886,AUD,Australia,2013-03-23,558.91,2013
6132,GBP,Reino Unido,2013-11-16,4042.05,2013
11146,MXN,México,2013-03-23,6.1,2013
14625,PLN,Polonia,2013-03-08,9.95,2013
15548,RUB,Rusia,2013-12-28,21.37,2013
3984,CZK,República Checa,2013-04-20,0.33,2013
4431,DKK,Dinamarca,2013-04-20,3.7,2013
17732,TRY,Turquia,2013-08-11,0.0,2013
475,ARS,Argentina,2013-12-28,9.77,2013
6587,HKD,Hong Kong,2013-12-28,18.3,2013
920,AUD,Australia,2013-11-16,863.37,2013
2702,CLP,Chile,2013-11-16,8.49,2013
9121,JPY,Japón,2013-08-24,0.0,2013
8313,INR,India,2013-08-24,59.32,2013
1359,BRL,Brasil,2013-08-24,19.72,2013
1811,CAD,Canadá,2013-08-24,179.39,2013
16821,SGD,Singapur,2013-03-23,0.49,2013
1364,BRL,Brasil,2013-09-28,67.47,2013
6566,HKD,Hong Kong,2013-03-08,10.51,2013
7014,HRK,Croacia,2013-03-08,0.0,2013
15077,RON,Rumanía,2013-03-08,0.0,2013
5665,EUR,Europa,2013-03-08,649.62,2013
7029,HRK,Croacia,2013-11-16,4.55,2013
7859,IDR,Indonesia,2013-03-08,0.0,2013
1337,BRL,Brasil,2013-03-23,16.99,2013
2257,CHF,Suiza,2013-03-08,0.0,2013
4446,DKK,Dinamarca,2013-03-08,0.0,2013
12042,NGN,Nigeria,2013-08-11,0.0,2013
18933,USD,Estados Unidos,2013-03-23,325.71,2013
16389,SEK,Suecia,2013-03-08,12.73,2013
10744,MAD,Marruecos,2013-12-28,0.0,2013
1808,CAD,Canadá,2013-03-08,55.98,2013
3137,CNY,China,2013-12-28,3.46,2013
19984,ZAR,Sudáfrica,2013-11-16,17.87,2013
7421,HUF,Hungria,2013-07-09,7.6,2013
14640,PLN,Polonia,2013-11-16,25.16,2013
12932,NZD,Nueva Zelanda,2013-03-08,29.08,2013
9133,JPY,Japón,2013-11-16,6.78,2013
3551,COP,Colombia,2013-03-08,0.0,2013
7874,IDR,Indonesia,2013-11-16,0.0,2013
4461,DKK,Dinamarca,2013-11-16,5.95,2013
12480,NOK,Noruega,2013-03-08,70.56,2013
6117,GBP,Reino Unido,2013-03-08,3283.63,2013
2272,CHF,Suiza,2013-11-16,68.94,2013
21,AED,Emiratos Árabes Unidos,2013-11-16,0.0,2013
7864,IDR,Indonesia,2013-07-09,0.0,2013
12485,NOK,Noruega,2013-07-09,36.86,2013
