Date,Open,High,Low,Close,Adj Close,Volume
36556,114.000000,114.000000,110.500000,111.099998,111.099998,6465
36557,110.599998,112.750000,109.800003,111.650002,111.650002,5964
36558,112.750000,114.250000,111.750000,112.250000,112.250000,5055
36559,112.000000,113.500000,111.250000,112.949997,112.949997,4181
36560,112.500000,114.500000,112.500000,112.900002,112.900002,4107
36563,114.000000,114.250000,111.250000,111.699997,111.699997,6155
36564,112.250000,112.400002,108.500000,108.550003,108.550003,11717
36565,108.550003,109.400002,106.900002,107.699997,107.699997,6700
36566,108.000000,109.000000,107.300003,108.750000,108.750000,5121
36567,108.750000,110.699997,108.400002,108.800003,108.800003,6053
36570,107.000000,107.599998,104.250000,105.000000,105.000000,7749
36571,106.000000,106.699997,105.300003,105.800003,105.800003,6638
36572,105.500000,107.000000,104.900002,104.949997,104.949997,8616
36573,105.000000,105.750000,104.400002,105.349998,105.349998,7419
36574,105.750000,106.400002,103.750000,104.300003,104.300003,7419
36577,null,null,null,null,null,null
36578,103.000000,104.750000,103.000000,103.199997,103.199997,1209
36579,103.000000,104.250000,102.500000,103.599998,103.599998,1237
36580,103.900002,104.000000,101.750000,101.750000,101.750000,727
36581,102.000000,102.000000,98.199997,98.800003,98.800003,1908
36584,98.250000,101.750000,98.000000,101.650002,101.650002,473
36585,102.000000,103.000000,99.449997,99.900002,99.900002,287
36586,101.250000,101.699997,100.250000,101.150002,101.150002,166
36587,102.500000,105.500000,102.500000,105.099998,105.099998,198
36588,104.750000,105.400002,103.849998,104.349998,104.349998,187
36591,103.500000,106.500000,103.500000,106.300003,106.300003,106
36592,108.000000,108.599998,108.000000,108.400002,108.400002,171
36593,108.750000,108.750000,107.000000,107.400002,107.400002,67
36594,108.500000,109.000000,107.199997,107.199997,107.199997,93
36595,106.000000,106.699997,105.800003,106.099998,106.099998,112
36598,106.500000,106.500000,105.750000,106.000000,106.000000,91
36599,106.500000,106.500000,102.250000,102.550003,102.550003,198
36600,103.000000,103.000000,101.500000,103.000000,103.000000,178
36601,103.500000,106.750000,103.500000,106.349998,106.349998,169
36602,105.500000,106.150002,105.500000,106.099998,106.099998,138
36605,104.750000,105.000000,103.099998,103.099998,103.099998,186
36606,103.500000,104.000000,103.500000,103.750000,103.750000,0
36607,104.500000,105.900002,104.500000,105.800003,105.800003,3326
36608,105.750000,107.000000,101.500000,102.099998,102.099998,9191
36609,103.000000,103.250000,101.050003,103.150002,103.150002,4240
36612,102.750000,103.250000,101.349998,103.150002,103.150002,3871
