Currency;Country;Label;Value
AED;Emiratos Árabes Unidos;29-6-2013;0
AED;Emiratos Árabes Unidos;6-7-2013;
AED;Emiratos Árabes Unidos;13-7-2013;
AED;Emiratos Árabes Unidos;20-7-2013;
AED;Emiratos Árabes Unidos;27-7-2013;
AED;Emiratos Árabes Unidos;3-8-2013;
AED;Emiratos Árabes Unidos;10-8-2013;
AED;Emiratos Árabes Unidos;17-8-2013;
AED;Emiratos Árabes Unidos;24-8-2013;
AED;Emiratos Árabes Unidos;31-8-2013;5
AED;Emiratos Árabes Unidos;7-9-2013;
AED;Emiratos Árabes Unidos;14-9-2013;
AED;Emiratos Árabes Unidos;21-9-2013;1
AED;Emiratos Árabes Unidos;28-9-2013;5
AED;Emiratos Árabes Unidos;5-10-2013;
AED;Emiratos Árabes Unidos;12-10-2013;
AED;Emiratos Árabes Unidos;19-10-2013;
AED;Emiratos Árabes Unidos;26-10-2013;
AED;Emiratos Árabes Unidos;2-11-2013;
AED;Emiratos Árabes Unidos;8-11-2013;
AED;Emiratos Árabes Unidos;9-11-2013;1
AED;Emiratos Árabes Unidos;16-11-2013;
AED;Emiratos Árabes Unidos;23-11-2013;
AED;Emiratos Árabes Unidos;30-11-2013;
AED;Emiratos Árabes Unidos;7-12-2013;
AED;Emiratos Árabes Unidos;14-12-2013;17.63
AED;Emiratos Árabes Unidos;21-12-2013;0.87
AED;Emiratos Árabes Unidos;28-12-2013;6.2
AED;Emiratos Árabes Unidos;4-1-2014;0.27
AED;Emiratos Árabes Unidos;11-1-2014;7.34
AED;Emiratos Árabes Unidos;18-1-2014;34.55
AED;Emiratos Árabes Unidos;25-1-2014;9.91
AED;Emiratos Árabes Unidos;1-2-2014;11.13
AED;Emiratos Árabes Unidos;8-2-2014;6.95
AED;Emiratos Árabes Unidos;15-2-2014;10.26
AED;Emiratos Árabes Unidos;22-2-2014;13.78
AED;Emiratos Árabes Unidos;1-3-2014;
AED;Emiratos Árabes Unidos;8-3-2014;7.78
AED;Emiratos Árabes Unidos;15-3-2014;2.04
